ID,Name, Quantity_Sold
8322,Nhà Sách Tiki, 5995718
1883,Nhà Cửa - Đời Sống, 1592658
1789,Điện Thoại - Máy Tính Bảng, 60164
2549,Đồ Chơi - Mẹ & Bé, 2575949
1815,Thiết Bị Số - Phụ Kiện Số, 661903
1882,Điện Gia Dụng, 868028
1520,Làm Đẹp - Sức Khỏe, 2678523
8594,Ô Tô - Xe Máy - Xe Đạp, 244510
931,Thời trang nữ, 170353
4384,Bách Hóa Online, 2372692
1975,Thể Thao - Dã Ngoại, 374503
915,Thời trang nam, 304324
17166,Cross Border - Hàng Quốc Tế, 10227
1846,Laptop - Máy Vi Tính - Linh kiện, 252823
1686,Giày - Dép nam, 81204
4221,Điện Tử - Điện Lạnh, 41730
1703,Giày - Dép nữ, 96948
1801,Máy Ảnh - Máy Quay Phim, 159005
27498,Phụ kiện thời trang, 199012
44792,NGON, 193348
8371,Đồng hồ và Trang sức, 68457
6000,Balo và Vali, 150404
11312,Voucher - Dịch vụ, 5094491
976,Túi thời trang nữ, 34794
27616,Túi thời trang nam, 89163